ns1:ID;concept;value;ns3:Time;value2
7708234640-VSHP2016-170;MEASURES_;n01311;2016;4,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;4,0000
7708234640-VSHP2016-170;Oktmo_Parent;47000000000;2016;4,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;4,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;4,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;25,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;25,0000
7708234640-VSHP2016-170;Oktmo_Parent;49000000000;2016;25,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;25,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;25,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;3,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;3,0000
7708234640-VSHP2016-170;Oktmo_Parent;49000000000;2016;3,0000
7708234640-VSHP2016-170;Range_Sell_Code;4_61;2016;3,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;3,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;7,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;7,0000
7708234640-VSHP2016-170;Oktmo_Parent;49000000000;2016;7,0000
7708234640-VSHP2016-170;Range_Sell_Code;5_61;2016;7,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;7,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;12,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;12,0000
7708234640-VSHP2016-170;Oktmo_Parent;49000000000;2016;12,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;12,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;12,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;23,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;23,0000
7708234640-VSHP2016-170;Oktmo_Parent;58000000000;2016;23,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;23,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;23,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;3,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;3,0000
7708234640-VSHP2016-170;Oktmo_Parent;58000000000;2016;3,0000
7708234640-VSHP2016-170;Range_Sell_Code;4_61;2016;3,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;3,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;9,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;9,0000
7708234640-VSHP2016-170;Oktmo_Parent;58000000000;2016;9,0000
7708234640-VSHP2016-170;Range_Sell_Code;5_61;2016;9,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;9,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;6,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;6,0000
7708234640-VSHP2016-170;Oktmo_Parent;58000000000;2016;6,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;6,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;6,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;29,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;29,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000037_00000000039;2016;29,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;29,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;29,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;5,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;5,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000037_00000000039;2016;5,0000
7708234640-VSHP2016-170;Range_Sell_Code;4_61;2016;5,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;5,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;7,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;7,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000037_00000000039;2016;7,0000
7708234640-VSHP2016-170;Range_Sell_Code;5_61;2016;7,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;7,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;12,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;12,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000037_00000000039;2016;12,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;12,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;12,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;11,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;11,0000
7708234640-VSHP2016-170;Oktmo_Parent;03000000000;2016;11,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;11,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;11,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;7,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;7,0000
7708234640-VSHP2016-170;Oktmo_Parent;03000000000;2016;7,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;7,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;7,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;5,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;5,0000
7708234640-VSHP2016-170;Oktmo_Parent;18000000000;2016;5,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;5,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;5,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;9,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;9,0000
7708234640-VSHP2016-170;Oktmo_Parent;60000000000;2016;9,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;9,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;9,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;793,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;793,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;793,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;793,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;793,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;22,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;22,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;22,0000
7708234640-VSHP2016-170;Range_Sell_Code;1_61;2016;22,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;22,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;60,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;60,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;60,0000
7708234640-VSHP2016-170;Range_Sell_Code;2_61;2016;60,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;60,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;122,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;122,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;122,0000
7708234640-VSHP2016-170;Range_Sell_Code;3_61;2016;122,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;122,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;224,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;224,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;224,0000
7708234640-VSHP2016-170;Range_Sell_Code;4_61;2016;224,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;224,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;223,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;223,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;223,0000
7708234640-VSHP2016-170;Range_Sell_Code;5_61;2016;223,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;223,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;142,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;142,0000
7708234640-VSHP2016-170;Oktmo_Parent;00000000038;2016;142,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;142,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;142,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;700,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;700,0000
7708234640-VSHP2016-170;Oktmo_Parent;82000000000;2016;700,0000
7708234640-VSHP2016-170;Range_Sell_Code;All_61;2016;700,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;700,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;116,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;116,0000
7708234640-VSHP2016-170;Oktmo_Parent;82000000000;2016;116,0000
7708234640-VSHP2016-170;Range_Sell_Code;3_61;2016;116,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;116,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;210,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;210,0000
7708234640-VSHP2016-170;Oktmo_Parent;82000000000;2016;210,0000
7708234640-VSHP2016-170;Range_Sell_Code;4_61;2016;210,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;210,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;197,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;197,0000
7708234640-VSHP2016-170;Oktmo_Parent;82000000000;2016;197,0000
7708234640-VSHP2016-170;Range_Sell_Code;5_61;2016;197,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;197,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;103,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;103,0000
7708234640-VSHP2016-170;Oktmo_Parent;82000000000;2016;103,0000
7708234640-VSHP2016-170;Range_Sell_Code;6_61;2016;103,0000
7708234640-VSHP2016-170;Range_Sell_Have;1;2016;103,0000
7708234640-VSHP2016-170;MEASURES_;n01311;2016;23,0000
7708234640-VSHP2016-170;Category_Parent;61;2016;23,0000
7708234640-VSHP2016-170;Oktmo_Parent;83000000000;2016;23,0000
